	input	category	prediction
0	A cake was blessed by the wolf .	active_to_passive	cake ( 12 ) ; wolf ( 34 ) ; bless ( 27 ) AND theme ( 27 , 12 ) AND agent ( 27 , 34 )
1	A melon was blessed by a boy .	active_to_passive	melon ( 12 ) ; boy ( 34 ) ; bless ( 27 ) AND theme ( 27 , 12 ) AND agent ( 27 , 34 )
2	A cake was blessed by Nathan .	active_to_passive	cake ( 12 ) ; Nathan ( 34 ) ; bless ( 27 ) AND theme ( 27 , 12 ) AND agent ( 27 , 34 )
3	The bowl was blessed by a girl .	active_to_passive	bowl ( 12 ) ; girl ( 34 ) ; bless ( 27 ) AND theme ( 27 , 12 ) AND agent ( 27 , 34 )
4	The teacher believed that the toy was blessed by Mia .	active_to_passive	teacher ( 12 ) ; toy ( 34 ) ; Mia ( 27 ) ; believe ( 19 ) AND agent ( 19 , 12 ) AND ccomp ( 19 , 38 ) AND bless ( 38 ) AND theme ( 38 , 34 ) AND agent ( 38 , 27 )
5	The radio was blessed .	active_to_passive	radio ( 12 ) ; bless ( 27 ) AND theme ( 27 , 12 )
6	A raisin was blessed by Sofia .	active_to_passive	raisin ( 12 ) ; Sofia ( 34 ) ; bless ( 27 ) AND theme ( 27 , 12 ) AND agent ( 27 , 34 )
7	A pencil was blessed .	active_to_passive	pencil ( 12 ) ; bless ( 27 ) AND theme ( 27 , 12 )
8	A donut was blessed by a horse .	active_to_passive	donut ( 12 ) ; horse ( 34 ) ; bless ( 27 ) AND theme ( 27 , 12 ) AND agent ( 27 , 34 )
9	A rose was blessed .	active_to_passive	rose ( 12 ) ; bless ( 27 ) AND theme ( 27 , 12 )
10	Emma said that the drink was blessed by a girl .	active_to_passive	Emma ( 12 ) ; drink ( 34 ) ; * girl ( 27 ) ; say ( 19 ) AND agent ( 19 , 12 ) AND ccomp ( 19 , 53 ) AND bless ( 53 ) AND theme ( 53 , 34 ) AND agent ( 53 , 27 )
11	The needle was blessed .	active_to_passive	needle ( 12 ) ; bless ( 27 ) AND theme ( 27 , 12 )
12	The banana was blessed by the dog .	active_to_passive	banana ( 12 ) ; dog ( 34 ) ; bless ( 27 ) AND theme ( 27 , 12 ) AND agent ( 27 , 34 )
13	The cake was blessed by a cat .	active_to_passive	cake ( 12 ) ; cat ( 34 ) ; bless ( 27 ) AND theme ( 27 , 12 ) AND agent ( 27 , 34 )
14	A shoe was blessed .	active_to_passive	shoe ( 12 ) ; bless ( 27 ) AND theme ( 27 , 12 )
15	The box was blessed by Benjamin .	active_to_passive	box ( 12 ) ; Benjamin ( 34 ) ; bless ( 27 ) AND theme ( 27 , 12 ) AND agent ( 27 , 34 )
16	A melon was blessed by a goose .	active_to_passive	melon ( 12 ) ; goose ( 34 ) ; bless ( 27 ) AND theme ( 27 , 12 ) AND agent ( 27 , 34 )
17	Aria respected that the liver was blessed by Emma .	active_to_passive	Aria ( 12 ) ; liver ( 34 ) ; Emma ( 27 ) ; bless ( 19 ) AND theme ( 19 , 34 ) AND agent ( 19 , 27 ) AND agent ( 19 , 12 )
18	The cake was blessed by Emma .	active_to_passive	cake ( 12 ) ; Emma ( 34 ) ; bless ( 27 ) AND theme ( 27 , 12 ) AND agent ( 27 , 34 )
19	A rose was blessed by a boy .	active_to_passive	rose ( 12 ) ; boy ( 34 ) ; bless ( 27 ) AND theme ( 27 , 12 ) AND agent ( 27 , 34 )
20	Emma believed that a student liked that a chicken valued that the child proved that Jacob believed that a boy believed that a duck burned a cake .	cp_recursion	Emma ( 12 ) ; student ( 34 ) ; like ( 27 ) AND theme ( 27 , 34 ) AND agent ( 27 , 12 ) ; chicken ( 19 ) ; value ( 20 ) AND theme ( 20 , 19 ) AND agent ( 20 , 34 ) ; child ( 52 ) ; prove ( 38 ) AND theme ( 38 , 52 ) AND agent ( 38 , 19 ) ; Jacob ( 27 ) ; believe ( 41
21	A chicken believed that Ellie liked that Olivia expected that a boy admired that a cat valued that Emma appreciated that Liam hoped that Ava said that Isaac liked that a creature declared that the dog liked that a cake was fed to a girl .	cp_recursion	chicken ( 52 ) ; Ellie ( 48 ) ; Olivia ( 42 ) ; boy ( 37 ) ; cat ( 31 ) ; Emma ( 26 ) ; Liam ( 21 ) ; Ava ( 16 ) ; Isaac ( 11 ) ; creature ( 6 ) ; dog ( 1 ) ; cake ( 57 ) ; * girl ( 53 ) ; believe ( 51 ) AND agent ( 51 , 52 ) AND ccomp ( 51 , 48 ) AND like ( 47 ) AND agent ( 47 , 42 ) AND ccomp ( 47 , 37 ) AND expect
22	The pig liked that Levi liked that the dog supported that Sophia wished that the girl imagined that the cat liked that the baby liked that Logan noticed that the president meant that Emma admired that a horse passed the donut on a carpet on a table to Olivia .	cp_recursion	* pig ( 52 ) ; Levi ( 48 ) ; * dog ( 42 ) ; Sophia ( 38 ) ; * girl ( 34 ) ; * cat ( 30 ) ; * baby ( 26 ) ; Logan ( 22 ) ; president ( 18 ) ; Emma ( 14 ) ; * horse ( 10 ) ; * donut ( 6 ) ; * carpet ( 2 ) ; * table ( 0 ) ; Olivia ( 56 ) ; like ( 54 ) AND theme ( 54
23	Henry said that a cat believed that Lucas noticed that the baby respected that a boy liked that Emma hoped that a child liked that Leah admired that a girl was fed a jar in the house by Noah .	cp_recursion	Henry ( 12 ) ; cat ( 34 ) ; Lucas ( 27 ) ; baby ( 19 ) ; boy ( 8 ) ; Emma ( 42 ) ; child ( 53 ) ; Leah ( 61 ) ; girl ( 71 ) ; jar ( 81 ) ; house ( 91 ) ; Noah ( 101 ) ; say ( 13 ) AND agent ( 13 , 12 ) AND ccomp ( 13 , 23 ) AND believe ( 23 ) AND agent ( 23 , 34 ) AND ccomp ( 23 , 33 ) AND notice ( 33 ) AND agent (
24	The boy meant that the poet liked that a squirrel proved that William respected that a bird hoped that Hannah hoped that Liam liked that the cake changed .	cp_recursion	* boy ( 12 ) ; poet ( 34 ) ; squirrel ( 27 ) ; William ( 19 ) ; bird ( 8 ) ; Hannah ( 42 ) ; Liam ( 56 ) ; cake ( 71 ) ; mean ( 13 ) AND agent ( 13 , 12 ) AND ccomp ( 13 , 34 ) AND like ( 20 ) AND agent ( 20 , 34 ) AND ccomp ( 20 , 27 ) AND prove ( 25 ) AND agent ( 25 , 27 ) AND ccomp ( 25 , 19 ) AND respect ( 30 ) AND
25	Emma thought that Olivia noticed that James noticed that the duke liked that Mila meant that Natalie said that a teacher noticed that Noah hoped that Amelia proved that Audrey liked that a donut was painted by a student .	cp_recursion	Emma ( 12 ) ; Olivia ( 34 ) ; James ( 27 ) ; duke ( 19 ) ; Mila ( 20 ) ; Natalie ( 21 ) ; say ( 22 ) ; teacher ( 23 ) ; Noah ( 24 ) ; Amelia ( 25 ) ; prove ( 26 ) ; Audrey ( 28 ) ; like ( 29 ) ; donut ( 30 ) ; paint ( 31 ) ; student ( 32 ) ; think ( 33 ) AND agent ( 33 , 12 ) AND ccomp ( 33 , 34 ) AND notice ( 34 ) AND agent
26	Emma liked that the lion liked that Abigail said that Sebastian liked that Matthew hoped that the donut burned .	cp_recursion	Emma ( 12 ) ; lion ( 34 ) ; Abigail ( 27 ) ; Sebastian ( 19 ) ; Matthew ( 8 ) ; donut ( 52 ) ; burn ( 4 ) AND theme ( 4 , 52 ) AND hope ( 3 ) AND theme ( 3 , 52 ) AND like ( 7 ) AND theme ( 7 , 3 ) AND say ( 6 ) AND agent ( 6 , 27 ) AND ccomp ( 6 , 7 ) AND like ( 9 ) AND theme ( 9 , 7 ) AND say ( 10 ) AND agent
27	A boy confessed that the professor imagined that Jacob liked that a girl liked that Liam respected that Ava wanted to sleep .	cp_recursion	boy ( 12 ) ; professor ( 34 ) ; Jacob ( 27 ) ; girl ( 19 ) ; Liam ( 42 ) ; Ava ( 8 ) ; confess ( 13 ) AND agent ( 13 , 12 ) AND ccomp ( 13 , 53 ) AND imagine ( 53 ) AND agent ( 53 , 34 ) AND ccomp ( 53 , 67 ) AND like ( 67 ) AND agent ( 67 , 27 ) AND ccomp ( 67 , 79 )
28	Olivia admired that Sophia hoped that Noah expected that the rose was rolled by Emma .	cp_recursion	Olivia ( 12 ) ; admire ( 34 ) AND agent ( 34 , 12 ) AND ccomp ( 34 , 27 ) AND hope ( 27 ) AND agent ( 27 , 12 ) AND ccomp ( 27 , 19 ) AND expect ( 19 ) AND agent ( 19 , 12 ) AND ccomp ( 19 , 53 ) AND roll ( 53 ) AND theme ( 53 , 38 ) AND agent ( 53 , 6 )
29	The scientist declared that William said that Daniel liked that the game was eaten by Aria .	cp_recursion	scientist ( 12 ) ; William ( 34 ) ; Daniel ( 27 ) ; like ( 19 ) ; Aria ( 8 ) ; game ( 52 ) ; eat ( 13 ) ; declare ( 20 ) AND agent ( 20 , 12 ) AND ccomp ( 20 , 39 ) AND say ( 39 ) AND agent ( 39 , 34 ) AND ccomp ( 39 , 53 ) AND like ( 53 ) AND agent ( 53 , 27 ) AND ccomp ( 53 , 41 ) AND eat ( 41 ) AND agent ( 41 ,
30	Olivia admired that a girl liked that Ava said that a bee admired that the citizen noticed that William noticed that Noah hoped that Liam confessed that Emma hoped that Lucas appreciated that the tool froze .	cp_recursion	Olivia ( 1 ) ; * girl ( 2 ) ; like ( 3 ) AND theme ( 3 , 2 ) AND agent ( 3 , 1 ) AND say ( 4 ) AND agent ( 4 , 1 ) AND admire ( 5 ) AND agent ( 5 , 1 ) AND theme ( 5 , 2 ) AND say ( 6 ) AND agent ( 6 , 1 ) AND admire ( 7 ) AND agent ( 7 , 1 ) AND theme ( 7 ,
31	Elizabeth liked that the girl hoped that Liam thought that a mouse said that a teacher liked that Isabella liked that Emma floated .	cp_recursion	Elizabeth ( 12 ) ; * girl ( 34 ) ; Liam ( 27 ) ; * mouse ( 19 ) ; * teacher ( 8 ) ; Isabella ( 42 ) ; Emma ( 56 ) ; like ( 13 ) AND theme ( 13 , 34 ) AND agent ( 13 , 12 ) AND hope ( 20 ) AND agent ( 20 , 34 ) AND theme ( 20 , 27 ) AND think ( 25 ) AND agent ( 25 , 27
32	A dog confessed that a child said that James said that Victoria hoped that the goose expected that the guard declared that the puppy valued that Benjamin valued that Liam said that the boy believed that a girl noticed that Olivia changed Emma .	cp_recursion	dog ( 12 ) ; child ( 34 ) ; James ( 27 ) ; Victoria ( 19 ) ; goose ( 20 ) ; guard ( 21 ) ; puppy ( 22 ) ; Benjamin ( 23 ) ; Liam ( 24 ) ; boy ( 25 ) ; girl ( 26 ) ; Olivia ( 28 ) ; Emma ( 29 ) ; confess ( 30 ) AND agent ( 30 , 12 ) AND say ( 31 ) AND agent ( 31 , 34 ) AND hope ( 32 ) AND agent ( 32 , 27 ) AND expect ( 33 )
33	Emma believed that the citizen wished that the chicken thought that a girl liked that a butterfly rolled .	cp_recursion	Emma ( 12 ) ; citizen ( 34 ) ; chicken ( 27 ) ; girl ( 19 ) ; butterfly ( 8 ) ; believe ( 13 ) AND agent ( 13 , 12 ) AND ccomp ( 13 , 39 ) AND wish ( 39 ) AND agent ( 39 , 34 ) AND ccomp ( 39 , 53 ) AND think ( 53 ) AND agent ( 53 , 27 ) AND ccomp ( 53 , 61 ) AND like ( 61 ) AND agent ( 61 , 19 ) AND ccomp ( 61 ,
34	A cat liked that Luna hoped that Emma liked that Olivia liked that Liam appreciated that the bear floated .	cp_recursion	cat ( 52 ) ; Luna ( 37 ) ; Emma ( 48 ) ; Olivia ( 24 ) ; Liam ( 16 ) ; bear ( 9 ) ; float ( 3 ) AND theme ( 3 , 9 ) AND agent ( 3 , 16 ) AND like ( 5 ) AND agent ( 5 , 52 ) AND theme ( 5 , 37 ) AND hope ( 7 ) AND agent ( 7 , 37 ) AND theme ( 7 , 48 ) AND like (
35	The judge liked that Emma declared that a patient said that Isabella believed that Liam hoped that Olivia liked that the child liked that a girl hoped that Oliver liked that the king was given a cake .	cp_recursion	judge ( 12 ) ; like ( 34 ) AND theme ( 34 , 12 ) AND declare ( 27 ) AND agent ( 27 , 12 ) AND say ( 19 ) AND agent ( 19 , 27 ) AND believe ( 15 ) AND agent ( 15 , 19 ) AND hope ( 10 ) AND agent ( 10 , 15 ) AND like ( 8 ) AND agent ( 8 , 10 ) AND like ( 6 ) AND agent ( 6 , 8 ) AND like ( 4 ) AND
36	The fly confessed that the cat admired that the customer wished that a priest believed that the baby liked that the bottle was given to a horse by the father .	cp_recursion	* fly ( 59 ) ; * cat ( 23 ) ; * customer ( 12 ) ; * priest ( 45 ) ; * baby ( 38 ) ; * bottle ( 17 ) ; * horse ( 9 ) ; * father ( 5 ) ; confess ( 13 ) AND agent ( 13 , 59 ) AND ccomp ( 13 , 23 ) AND admire ( 27 ) AND agent ( 27 , 23 ) AND ccomp ( 27 , 12 ) AND wish ( 34 ) AND agent ( 34 , 12 ) AND ccomp ( 34
37	The bear admired that a bird liked that Emma liked that the child proved that Liam liked that Isabella liked that the dog said that Avery hoped that Leah proved that the boy liked that the girl tolerated that a cake froze .	cp_recursion	bear ( 12 ) ; bird ( 34 ) ; like ( 27 ) AND theme ( 27 , 34 ) AND agent ( 27 , 12 ) AND admire ( 19 ) AND theme ( 19 , 27 ) AND agent ( 19 , 34 ) AND prove ( 8 ) AND theme ( 8 , 19 ) AND agent ( 8 , 34 ) AND like ( 3 ) AND theme ( 3 , 8 ) AND agent ( 3 , 12 ) AND say ( 7 ) AND agent ( 7 ,
38	Emma liked that Ella liked that Liam respected that Oliver noticed that a girl imagined that Bella meant that Ava said that a hero was awarded the cake on the truck in the crib in the room .	cp_recursion	Emma ( 12 ) ; Ella ( 34 ) ; Liam ( 27 ) ; Oliver ( 19 ) ; girl ( 20 ) ; Bella ( 53 ) ; Ava ( 38 ) ; hero ( 41 ) ; cake ( 59 ) ; truck ( 13 ) ; crib ( 17 ) ; room ( 3 ) ; like ( 35 ) AND theme ( 35 , 53 ) AND agent ( 35 , 34 ) AND like ( 27 ) AND theme ( 27 , 35 ) AND agent ( 27 , 12 ) AND
39	Levi liked that Emma declared that the girl wished that a lawyer liked that the turtle imagined that a monkey liked that Charlotte ate .	cp_recursion	Levi ( 12 ) ; Emma ( 34 ) ; girl ( 27 ) ; lawyer ( 19 ) ; turtle ( 42 ) ; monkey ( 8 ) ; Charlotte ( 56 ) ; like ( 13 ) AND theme ( 13 , 34 ) AND agent ( 13 , 12 ) AND declare ( 20 ) AND agent ( 20 , 34 ) AND wish ( 25 ) AND agent ( 25 , 27 ) AND like (
40	Noah teleported a lollipop beside the box to a girl .	do_dative_to_pp_dative	Noah ( 12 ) ; lollipop ( 34 ) ; box ( 27 ) ; girl ( 19 ) ; teleport ( 8 ) AND theme ( 8 , 34 ) AND recipient ( 8 , 19 ) AND agent ( 8 , 12 ) AND nmod . beside ( 34 , 27 )
41	The girl teleported the donut in the house to the cat .	do_dative_to_pp_dative	girl ( 12 ) ; donut ( 34 ) ; * house ( 27 ) ; * cat ( 19 ) ; teleport ( 20 ) AND agent ( 20 , 12 ) AND theme ( 20 , 34 ) AND recipient ( 20 , 19 ) AND nmod . in ( 34 , 27 )
42	Emma teleported a cake to a dog .	do_dative_to_pp_dative	Emma ( 12 ) ; cake ( 34 ) ; dog ( 27 ) ; teleport ( 19 ) AND theme ( 19 , 34 ) AND recipient ( 19 , 27 ) AND agent ( 19 , 12 )
43	Olivia teleported a mandarin to the cat .	do_dative_to_pp_dative	Olivia ( 12 ) ; mandarin ( 34 ) ; cat ( 27 ) ; teleport ( 19 ) AND theme ( 19 , 34 ) AND recipient ( 19 , 27 ) AND agent ( 19 , 12 )
